1F913                                                  :nerd-face
1F9D0                                                  :face-with-monocle
1F615                                                  :confused-face
1F61F                                                  :worried-face
1F641                                                  :slightly-frowning-face
2639 FE0F                                              :frowning-face
1F62E                                                  :face-with-open-mouth
1F62F                                                  :hushed-face
1F632                                                  :astonished-face
1F633                                                  :flushed-face
1F97A                                                  :pleading-face
1F626                                                  :frowning-face-with-open-mouth
1F627                                                  :anguished-face
1F628                                                  :fearful-face
1F630                                                  :anxious-face-with-sweat
1F625                                                  :sad-but-relieved-face
1F622                                                  :crying-face
1F62D                                                  :loudly-crying-face
1F631                                                  :face-screaming-in-fear
1F616                                                  :confounded-face
1F623                                                  :persevering-face
1F61E                                                  :disappointed-face
1F613                                                  :downcast-face-with-sweat
1F629                                                  :weary-face
1F62B                                                  :tired-face
1F971                                                  :yawning-face
1F624                                                  :face-with-steam-from-nose
1F621                                                  :pouting-face
1F620                                                  :angry-face
1F92C                                                  :face-with-symbols-on-mouth
1F608                                                  :smiling-face-with-horns
1F47F                                                  :angry-face-with-horns
1F480                                                  :skull
2620 FE0F                                              :skull-and-crossbones
2620                                                   :skull-and-crossbones
1F4A9                                                  :pile-of-poo
1F921                                                  :clown-face
1F479                                                  :ogre
1F47A                                                  :goblin
1F47B                                                  :ghost
1F47D                                                  :alien
1F47E                                                  :alien-monster
1F916                                                  :robot
1F63A                                                  :grinning-cat
1F638                                                  :grinning-cat-with-smiling-eyes
1F639                                                  :cat-with-tears-of-joy
1F63B                                                  :smiling-cat-with-heart-eyes
1F63C                                                  :cat-with-wry-smile
1F63D                                                  :kissing-cat
1F640                                                  :weary-cat
1F63F                                                  :crying-cat
1F63E                                                  :pouting-cat
1F648                                                  :see-no-evil-monkey
1F649                                                  :hear-no-evil-monkey
1F64A                                                  :speak-no-evil-monkey
1F48B                                                  :kiss-mark
1F48C                                                  :love-letter
1F498                                                  :heart-with-arrow
1F49D                                                  :heart-with-ribbon
1F496                                                  :sparkling-heart
1F497                                                  :growing-heart
1F493                                                  :beating-heart
1F49E                                                  :revolving-hearts
1F495                                                  :two-hearts
1F49F                                                  :heart-decoration
2763 FE0F                                              :heart-exclamation
2763                                                   :heart-exclamation
1F494                                                  :broken-heart
2764 FE0F 200D 1F525                                   :heart-on-fire
2764 200D 1F525                                        :heart-on-fire
2764 FE0F 200D 1FA79                                   :mending-heart
2764 200D 1FA79                                        :mending-heart
2764 FE0F                                              :red-heart
2764                                                   :red-heart
